letter frequency
 0.0
— 5.806650391811049e-07
‘ 0.0
“ 1.0606586917324803e-06
-d 0.0
£ 0.0
™ 8.64888875689388e-08
$ 0.00019991127314188491
§ 0.0
( 0.013115919402216446
« 1.4962577549426412e-05
˙d 0.0
0 0.007229451282198002
4 0.001729330156804142
· 4.324444378446939e-07
8 0.0015890666566980966
» 1.4904918291047119e-05
_d 0.0
< 0.004460986428651476
¿ 0.0
@ 0.0004390142575457765
‹ 8.64888875689388e-08
D 0.0016753024450708075
Ç 2.5946666270681643e-07
H 0.001031851411084976
L 0.0021000361081242457
¸d 0.0
P 0.002156371868418137
Œ 0.0
T 0.0027488978386177552
× 2.3063703351717012e-07
X 0.0006172263781501467
\ 0.0012179509882156603
ß 0.0
d 0.019653730903919326
≠ 0.0
≤ 0.0
ç 9.110162823928222e-06
h 0.012137330087008347
l 0.02742592368011438
p 0.018748220641006993
t 0.05460586554312937
°d 5.765925837929253e-08
x 0.005529617270665763
ˉd 0.0
C 0.0029476555289666864
– 3.5855908838524884e-06
# 0.0009997060478850817
' 0.0029192883755005984
space 0.2124054797273627
› 1.5583720319452215e-06
+ 0.0014394742119732853
Æ 0.0
€ 3.920829569791893e-06
/ 0.004592631709410974
° 9.802073924479732e-07
3 0.0021691068690899797
7 0.0009716497888819618
; 0.011598591505450147
¼ 0.0
? 0.0002679239177353789
À 1.5279703470512522e-06
≃ 0.0
÷ 0.0
G 0.0010120936034060677
† 0.0
È 5.477629546032792e-07
K 0.0004567094520405051
O 0.0020258439355576325
S 0.003621028695394019
W 0.0006893640419381804
[ 0.0018583233402680878
_ 0.010035860016243273
à 4.7482399275347414e-05
c 0.02310468837381892
g 0.011957800053731222
è 3.641182166652324e-05
k 0.004899955344584266
& 0.0009578579218590351
˘d 8.64888875689388e-08
| 0.0004390016691405425
s 0.03704216260864525
ˇd 1.663328699278346e-06
w 0.005707956965042798
{ 0.0044432156038528995
‰ 0.0
, 0.009274556981143087
− 0.0
√ 0.0
∞ 2.314230613693316e-07
¡ 0.0
" 0.00919221268210473
… 2.310442790559881e-06
© 1.6721184929994838e-06
* 0.0013472487547949313
. 0.015865583161170694
± 0.0
˝d 0.0
2 0.003210940398923676
Ʒ 0.0
6 0.0014781406772724627
: 0.009232455719709196
½ 0.0
> 0.005282066372793508
B 0.0015989431266107519
F 0.0015376846484227318
É 9.167822082307514e-06
J 0.00033174540394307597
N 0.002037443761398479
R 0.0021340907758433977
V 0.0007818281903531159
Ù 0.0
≥ 0.0
Z 0.0005082477936637175
b 0.009963420256417369
f 0.015195078689500211
é 0.00031575024379578223
j 0.0020888045936193066
.d 0.0
n 0.03833826244524626
r 0.042360481616362466
v 0.0069728310104543376
ù 1.6473613191980165e-06
´d 5.352231469663512e-07
z 0.0016677294436991004
̑d 0.0
‑ 0.0
ʒ 0.0
o 0.036426600078540775
’ 3.332705134323109e-05
~d 4.1320220451547056e-05
¨d 3.702409902439261e-06
ẞ 0.0
! 0.0006278351484270868
% 0.001497417471111967
) 0.013105381055126014
” 9.741698041635416e-07
/d 0.0
- 0.01317167578949391
® 1.729777751378776e-07
1 0.004807710409314483
5 0.001939405715908257
˛d 0.0
9 0.0011837207101675596
θ 0.0
= 0.010364824403752332
A 0.002887102000711918
‡ 0.0
E 0.0030871407778534157
ˋd 1.3751916442406892e-05
I 0.0023757665706620793
Ê 4.901036962239866e-07
M 0.0018993448000407059
Q 0.00019983442888403625
œ 8.64888875689388e-07
U 0.0010652230387584898
Y 0.0005441628814872732
] 0.0018578234965114216
a 0.04164551326733771
,d 0.0
e 0.0664550471774751
æ 0.0
i 0.04135714006327811
} 0.004438718187268584
ê 1.6115762717012263e-05
m 0.015654867036962512
q 0.0012517205941216278
u 0.01809237313183034
y 0.006070027906296602
˵d 0.0
^d 3.688235170142593e-05
