letter frequency
# 0.0011435537076390067
& 0.0010956840565790073
( 0.015003168474602589
) 0.014991113765207616
@ 0.0005021839999717283
À 1.7478299338384888e-06
È 6.265805423194584e-07
É 1.0486979603030933e-05
à 5.431463964211305e-05
è 4.165111710260399e-05
é 0.0003611835326438814
ê 1.843465911350406e-05
ˋd 1.7615079169022385e-05
a 0.04763788436025142
b 0.011397056363813652
c 0.026439642002883408
d 0.022481705388962332
e 0.07601726102577558
f 0.017381497901312964
g 0.013678407383429327
h 0.013883769985387108
i 0.04730801714840076
j 0.002389362595755076
k 0.005605009706022126
l 0.031372238645718864
m 0.01790744517409586
n 0.0438547533611984
o 0.041668021979684035
p 0.021445901293699315
q 0.001431830615973658
r 0.048455729473924056
s 0.04237215777547501
space 0.2429684949680219
t 0.062463101161373415
u 0.020697568315017185
v 0.007976151361306865
w 0.006529274644509221
x 0.006325273659264096
y 0.006943443957753916
z 0.0019076989608250064
1 0.005499491651028019
2 0.0036729624732840787
3 0.002481219562150955
4 0.0019781633978597766
5 0.0022184667200273976
6 0.0016908302750422738
7 0.0011114604347480677
8 0.0018177173888233975
9 0.0013540462316746888
0 0.008269696712791555
A 0.0033025269820370524
Z 0.0005813795465907796
E 0.0035319099548177047
R 0.0024411650047699387
T 0.003144535562839367
Y 0.000622462454839354
U 0.0012184979354799184
I 0.0027176155191948313
O 0.002317342531343006
P 0.0024666521227862744
Q 0.00022858859616555215
S 0.004142058356899191
D 0.0019163616410347458
F 0.001758942025611845
G 0.0011577237079851846
H 0.0011803244657517629
J 0.00037948023568915506
K 0.0005224253552327564
L 0.002402210212393683
M 0.0021726414407178753
W 0.0007885566039528826
X 0.0007060390548595868
C 0.0033720903561485047
V 0.0008943254146620659
B 0.0018290149835622665
N 0.002330611455619627
