letter frequency
 0.0
— 5.3810666106944574e-05
‘ 4.194898570506824e-06
“ 5.548641001433648e-05
-d 1.098173018745583e-07
£ 1.57963836353281e-07
™ 8.717437509874815e-08
$ 7.083751153200472e-06
§ 2.1254177334347196e-06
( 0.001409723415404634
« 0.00040974803379036
˙d 1.7987183525887098e-06
0 0.0028229776770498766
4 0.0007913701528341818
· 8.809938255669737e-06
8 0.0007597642173145362
» 0.00041296923454821056
_d 3.711565922090448e-08
< 6.699575129480644e-06
¿ 1.6821394877947145e-07
@ 3.888233234412516e-05
‹ 1.3358916582927258e-07
D 0.0012704324585498979
Ç 9.477039581146895e-06
H 0.0004409143132711146
L 0.0026412229799032067
¸d 1.9859731285247035e-06
P 0.0016669432829989983
Œ 8.928812669801438e-07
T 0.0011360355233069046
× 2.2285177820450467e-06
X 7.251992952185761e-05
\ 6.4015042510913134e-06
ß 7.614586178528317e-07
d 0.031053509008811403
≠ 1.887875936140285e-08
≤ 6.546713109755323e-08
ç 0.0004117364088739849
h 0.005821959164308653
l 0.040243497849087546
p 0.02206376861957188
t 0.05459098456386062
°d 2.7543777189233685e-06
x 0.0031639440446226733
ˉd 9.343046781731555e-06
C 0.002893139399993443
– 4.784662532905707e-05
# 0.00021036738889545443
' 0.0011833332231518643
space 0.15706496587316707
› 1.5851271244887473e-05
+ 6.374150251411148e-05
Æ 2.0246339961180853e-07
€ 1.985681888641613e-05
/ 0.0007801315777237462
° 6.533406595418662e-05
3 0.0009569639834342367
7 0.0006809807361293028
; 0.0005756254326932826
¼ 3.362841170943984e-08
? 0.00040114468681779825
À 5.0828960840220113e-05
≃ 2.9469592743803446e-09
÷ 5.151704264438387e-08
G 0.0006771355444021727
† 2.159235236514998e-06
È 1.6439790230886813e-05
K 0.000206947446415303
O 0.0008742749143909783
S 0.001754963124259211
W 0.00018509876193362852
[ 9.72625456554315e-05
_ 0.00028345765725153757
à 0.0033198386452710053
c 0.02545568622370628
g 0.007794675808763665
è 0.0024131486757259326
k 0.0007160026750839476
& 9.116493297494628e-05
˘d 2.953512279604174e-06
| 0.00017622167393899476
s 0.06162056388916765
ˇd 1.0426170738787673e-05
w 0.0004884737678140531
{ 5.877549782300332e-06
‰ 1.5595580448634864e-07
, 0.008958473381092848
− 7.454339795092722e-07
√ 2.5214674293270894e-08
∞ 1.3246065694952646e-07
¡ 1.9604048701401527e-07
" 0.000466103716280767
… 4.5004151908957206e-05
© 1.3080190640313411e-05
* 0.00039710526510800464
. 0.007958906399272886
± 7.150341442738973e-07
˝d 5.682373505768861e-07
2 0.0021467354014474914
Ʒ 5.418489605986533e-08
6 0.000705507301266499
: 0.0013489529286030066
½ 2.9669373353595023e-07
> 3.460265879914912e-05
B 0.0009940787961374533
F 0.0008890096709538672
É 0.00033157888243166584
J 0.0006877275057686561
N 0.0009300188112909992
R 0.0011415945370399634
V 0.0005792113080461808
Ù 3.850959316433345e-08
≥ 4.712473131881057e-08
Z 7.846103439163946e-05
b 0.0063267871022271455
f 0.007779567357478276
é 0.018816955203046652
j 0.002652559998869367
.d 4.950217838004171e-07
n 0.05747558204368679
r 0.05301045504748805
v 0.010727114309372485
ù 0.00014614292294128846
´d 5.571790080853821e-05
z 0.0009941391148524654
̑d 1.7001688121425064e-09
‑ 1.5754272461010006e-06
ʒ 8.664884789672319e-09
o 0.04538248886550139
’ 0.007643442183207766
~d 4.32655479891521e-05
¨d 0.0001483887610349126
ẞ 2.4557993953169535e-10
! 0.0007538366055343173
% 0.00020153013337955147
) 0.0015548646003665822
” 5.555005305589103e-05
/d 2.5124716890550375e-09
- 0.002614713724566106
® 1.0120958719209213e-06
1 0.0026963518067469436
5 0.0008452148315395439
˛d 1.8236456913975035e-06
9 0.0014440031109037976
θ 0.0
= 5.077221195978858e-05
A 0.0020246871564377597
‡ 3.1692269104488436e-08
E 0.002036639955405503
ˋd 2.8104561867319656e-05
I 0.0013718546765981573
Ê 3.8387612506239535e-06
M 0.0015692527976407771
Q 0.00020528461613582966
œ 8.71243566282684e-05
U 0.0007745739837681086
Y 0.00010799022394088403
] 0.0001265959342627996
a 0.05795908096368324
,d 1.1382653849650953e-06
e 0.10963544727893308
æ 1.4503999469418135e-06
i 0.05781167585724865
} 8.000572679774263e-06
ê 0.0009833251144567765
m 0.021219995738950746
q 0.006724079388117732
u 0.042264036019069987
y 0.0023750533569522943
˵d 1.945748751674202e-09
^d 0.0009465365496274432
