letter frequency
# 0.0002183459979209663
& 9.462254758367048e-05
( 0.0014631900293350481
) 0.0016138359875148957
@ 4.0357023499454187e-05
À 5.275675206226504e-05
È 1.706330255093971e-05
É 0.00034415468269200546
à 0.0034457502455312807
è 0.002504672223672888
é 0.01953062631625466
ê 0.0010206197097569838
ˋd 0.00018089614350927198
a 0.060157296423385645
b 0.006566743309039258
c 0.026848496993804587
d 0.03223127619293825
e 0.11379359352854232
f 0.00807462319602272
g 0.00809030466590391
h 0.0060427687497601286
i 0.06000430067992893
j 0.0027531637058356047
k 0.0007431585257873779
l 0.04176981396130809
m 0.022024807028443234
n 0.059655459828205026
o 0.04710371161377834
p 0.02290058170343065
q 0.006979103709025931
r 0.05502098385287514
s 0.06395764849997478
space 0.163021807766594
t 0.05666145815028354
u 0.04401867082022945
v 0.011133961832155545
w 0.0005070001241712347
x 0.0032839430266093077
y 0.0024651320628265644
z 0.0010318438530061446
1 0.002798959256946521
2 0.0022281546867241025
3 0.0009932587794832224
4 0.0008213844676815339
5 0.0008772713148130481
6 0.0007322650936743651
7 0.0007068083089104677
8 0.0007885798130841793
9 0.0014987698516710647
0 0.0029300448194011183
A 0.0021014775149862533
Z 8.143682793281058e-05
E 0.002117868002089374
R 0.0011848918205425345
T 0.0011792124506014513
Y 0.0001120859717653245
U 0.0008039912400541738
I 0.0014238850419597594
O 0.0009074335601267251
P 0.0017301654810430202
Q 0.0002130704507164644
S 0.0018215236529427403
D 0.001318616181004745
F 0.0009227271621566738
G 0.000702817280504088
H 0.000457636881050337
J 0.0007138109634444343
K 0.00021479634719999798
L 0.002741396707478054
M 0.001628769886293661
W 0.00019211900713574326
X 7.527039463553607e-05
C 0.0030127040431902727
V 0.0006011790692772357
B 0.0010317812465817752
N 0.0009652916571471114
