letter frequency
 0.0
— 0.00011790195999760885
‘ 1.334458578316173e-06
“ 1.819654462067045e-05
-d 7.978328120138945e-06
£ 0.0
™ 0.0
$ 4.441878961107666e-06
§ 0.0
( 0.00030343227871310275
« 0.0005953524586769037
˙d 2.220939480553833e-06
0 0.003204559661100599
4 0.0012775314338539468
· 8.864809022376604e-07
8 0.0009458386637482206
» 0.00058516266552613
_d 0.0
< 0.0
¿ 0.0
@ 0.006539006062965281
‹ 0.0
D 0.0038739653952102704
Ç 7.248031755539376e-05
H 0.0023352697721226016
L 0.004731712083559338
¸d 0.0
P 0.005643795672533984
Œ 0.0
T 0.004866868898626938
× 0.0
X 0.0005752923251427469
\ 8.864809022376604e-07
ß 8.864809022376604e-07
d 0.023496092194379484
≠ 0.0
≤ 0.0
ç 0.000495909649367839
h 0.011502444334045852
l 0.033101204393187346
p 0.01883038154268176
t 0.04962132300061736
°d 0.0
x 0.0026792554640704407
ˉd 1.7729618044753207e-06
C 0.004851714493718419
– 2.08370384275447e-05
# 0.011497922940476725
' 0.004612739709911602
space 0.1513921693903153
› 0.0
+ 0.0004926411633364184
Æ 0.0
€ 1.3316162433403634e-05
/ 0.009031886344226333
° 2.396340771017492e-05
3 0.0014837160979186493
7 0.0008551996993718336
; 0.0007614222127330289
¼ 0.0
? 2.220939480553833e-06
À 5.988009592567923e-05
≃ 0.0
÷ 0.0
G 0.0023336335700071802
† 0.0
È 7.558773793818524e-06
K 0.0010642116677119292
O 0.003688451346864748
S 0.004063324432171981
W 0.0008076802852980165
[ 0.0003807577591859542
_ 0.0008021366916163942
à 0.0027109034919532535
c 0.025388599156078644
g 0.007806832140283897
è 0.0015648338376983548
k 0.0027556635609521886
& 0.0006902858282058709
˘d 0.0
| 5.766863089504476e-06
s 0.04977012242599658
ˇd 0.0
w 0.0016336086048564832
{ 8.864809022376604e-07
‰ 0.0
, 0.004511786345675175
− 0.0
√ 0.0
∞ 0.0
¡ 0.0
" 0.0018673701610593
… 0.0002359717815638979
© 1.7729618044753207e-06
* 1.7338487068190883e-05
. 0.008125790806791483
± 0.0
˝d 0.0
2 0.003160239733378898
Ʒ 0.0
6 0.0016366793671091508
: 0.005018298347409298
½ 0.0
> 0.0
B 0.003096501256187689
F 0.003974022604903779
É 0.00010789218139530336
J 0.0031924348000179265
N 0.004653925232761067
R 0.005487672253651358
V 0.001754011620442044
Ù 0.0
≥ 0.0
Z 0.0007256286923664766
b 0.007143023127546702
f 0.010049051479072377
é 0.010839689066207291
j 0.0033611300171805104
.d 0.0
n 0.04458639511183275
r 0.04753866134735402
v 0.012713391037533356
ù 3.3247771058871945e-05
´d 1.1991178305006828e-05
z 0.003033755958186939
̑d 0.0
‑ 0.0
ʒ 0.0
o 0.04669700455511639
’ 0.0013062127192424453
~d 3.1074203827914936e-06
¨d 8.704566851783929e-05
ẞ 0.0
! 0.007189350797363273
% 5.280719760761666e-05
) 0.0006316806656291231
” 1.819654462067045e-05
/d 0.0
- 0.0021133029101155928
® 1.334458578316173e-06
1 0.0035157091007262807
5 0.001549579530421664
˛d 0.0
9 0.001074577358020988
θ 0.0
= 4.132084367820454e-05
A 0.0047863206663211885
‡ 0.0
E 0.0040565763436810455
ˋd 0.0
I 0.0033865658828276094
Ê 1.3783089009320874e-05
M 0.004994086323852871
Q 0.0010494784551808032
œ 7.589359886547328e-05
U 0.0018536832554094877
Y 0.000759248645502072
] 0.00038164424008819183
a 0.05235392754318267
,d 0.0
e 0.09262827810374401
æ 8.864809022376604e-07
i 0.04751996801394737
} 0.0
ê 0.0009964601411450926
m 0.018092489989874012
q 0.004680780627844995
u 0.040474034910693346
y 0.004109361913858957
˵d 0.0
^d 0.0006193578815769386
