letter frequency
# 0.012092144307418349
& 0.000725960322681124
( 0.0003191138887190606
) 0.0006643264009105225
@ 0.006876946849426466
À 6.297474464073466e-05
È 7.949416949057755e-06
É 0.00011346813105533585
à 0.002851005037856334
è 0.0016457056357515663
é 0.011399892407931619
ê 0.001047957956032129
ˋd 3.4966041051516885e-05
a 0.055059618175353736
b 0.007512179973432681
c 0.027222239827354618
d 0.024710388036664168
e 0.09741537767965869
f 0.01056839407140615
g 0.00821029513876621
h 0.012096899370031966
i 0.04997583595604885
j 0.0035348357624370285
k 0.002898078341125723
l 0.03481189970952926
m 0.019027523577141627
n 0.04689065378424773
o 0.04911034112229206
p 0.019803549924332156
q 0.004922686916261692
r 0.04999549537508568
s 0.05234228005254625
space 0.15920784072587954
t 0.05218579056015174
u 0.04260072973395899
v 0.013370428716416359
w 0.0017180347349715255
x 0.0028177214159199786
y 0.0043217368503020315
z 0.003190542764097328
1 0.0036974036101100824
2 0.00332356331659938
3 0.001560395669735466
4 0.0013435552260523758
5 0.001629662974320075
6 0.0017212641965434338
7 0.0008993970676269148
8 0.0009947203223389333
9 0.0011301123298479321
0 0.0033701737317569317
A 0.005033681343870172
Z 0.0007631297328328509
E 0.004280718691363283
R 0.005771279312489162
T 0.005118392369834675
Y 0.0007984871906127344
U 0.0019494830101659372
I 0.003561586172887777
O 0.003879073306376747
P 0.005935471307919075
Q 0.0011037162966972
S 0.004273320116689277
D 0.004074174861262836
F 0.004179403103344042
G 0.0024542375205719273
H 0.0024559582828520546
J 0.00335742224866924
K 0.00111921093281196
L 0.004976250548186607
M 0.005252184487960177
W 0.0008494218142390418
X 0.000605023868275108
C 0.005178680929070028
V 0.001844660269604703
B 0.0032565307866266897
N 0.004894443614017563
