letter frequency
space 0.21209420993243663
e 0.06636042719266837
t 0.05452934497411244
r 0.04230102392049966
a 0.04158390686968536
i 0.04129441992172576
n 0.03828417589545071
s 0.03698982998749121
o 0.03636753750896243
l 0.027387505504826378
c 0.02307160803333728
d 0.01962619999966477
p 0.018721958173593848
u 0.01806484139160894
. 0.015843358686179747
m 0.015632937732668103
f 0.015173793455740462
- 0.013153224934192928
( 0.013097546650343623
) 0.013087023065347278
h 0.012120328140957239
g 0.011941049592967113
; 0.011582344223252923
= 0.010350305379874879
_ 0.01002180180497692
b 0.009949463518611791
, 0.009261565201541566
: 0.009219522915464733
" 0.009179336250221352
0 0.007219324282289628
v 0.006963063483674282
y 0.006061525024175761
w 0.005699961271122801
x 0.005521871394608576
> 0.0052746672655051
k 0.004893091497607687
1 0.004800975778846123
/ 0.004586198360725864
< 0.004454737488394357
{ 0.0044369915569291846
} 0.004432500440316412
S 0.0036159275768901378
2 0.0032064425204739286
E 0.0030827875284036247
C 0.0029434976701554877
' 0.002915199042582067
A 0.0028827698619513487
T 0.002745018399154496
I 0.00237157492458518
3 0.0021660683888226574
P 0.0021533512273125438
R 0.0021311013460446736
L 0.0020970943820312954
j 0.0020858786006078753
N 0.0020345609252863696
O 0.002022804612988535
5 0.0019366890005254912
M 0.0018966842019032865
[ 0.0018557202049038636
] 0.0018552210613272636
4 0.0017269077148156847
D 0.0016729556849855009
z 0.0016652740681284055
B 0.0015967033304955813
8 0.0015868406955208759
F 0.0015355306630529112
% 0.0014953198919180814
6 0.0014760701009701972
+ 0.0014374577995729893
* 0.0013453615316179855
q 0.0012499671865880307
\ 0.0012162448850738582
9 0.0011820625567261049
U 0.0010635540743830002
H 0.0010304059958331651
G 0.0010106758648490354
# 9.983056617893537E-4
7 9.702887039338953E-4
& 9.565161565288242E-4
V 7.807330070946621E-4
W 6.88398382261251E-4
! 6.269556782927142E-4
X 6.163617687585095E-4
Y 5.433718300409342E-4
Z 5.075070519956591E-4
K 4.5606969441597316E-4
@ 4.383992873118821E-4
| 4.383867165404594E-4
J 3.3128069569009867E-4
é 3.153079415289612E-4
? 2.6754861048390897E-4
$ 1.996312378576337E-4
Q 1.9955450124305716E-4
à 4.7415886031901825E-5
~ 4.0793577758321024E-5
è 3.636081606453674E-5
’ 3.3280366880921984E-5
^ 1.9927333588449464E-5
  1.9490318666422305E-5
ê 1.6093187791034073E-5
� 1.5153783256413657E-5
« 1.4941618002766877E-5
» 1.4884039513353517E-5
` 1.3732652787239155E-5
É 9.154979816724213E-6
ç 9.097401327310854E-6
ô 8.03626602386507E-6
€ 3.915337280108469E-6
– 3.5805681958039986E-6
î 3.1380276730281107E-6
â 2.734978247134592E-6
… 2.3072063272357673E-6
û 1.9288793953475543E-6
© 1.6697761929874351E-6
ù 1.6450536989821289E-6
› 1.556189067732767E-6
À 1.5258299694540355E-6
ë 1.4106729906273157E-6
ï 1.4106729906273157E-6
“ 1.0591729233034933E-6
° 9.788343200271172E-7
” 9.728051891834535E-7
œ 8.636773412003975E-7
✖ 8.198689574632102E-7
  8.060988517870377E-7
﻿ 7.919449294545431E-7
Î 7.773096070803577E-7
č 7.153423771685604E-7
² 6.621526282536381E-7
♥ 6.341483103329839E-7
— 5.79851644834972E-7
È 5.469956494269185E-7
Ê 4.894171600135586E-7
⚠ 4.6219776887893004E-7
✓ 4.6219776887893004E-7
š 4.4403892270431997E-7
· 4.3183867060019873E-7
ñ 3.8239368258958643E-7
ä 3.576711885842802E-7
▶ 3.503226139675584E-7
→ 3.4625586326618466E-7
• 3.166816917734791E-7
▾ 2.5988812914614497E-7
Ç 2.5910320236011924E-7
ü 2.5910320236011924E-7
í 2.3844745905618683E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
ℹ 2.3109888443946502E-7
← 2.3109888443946502E-7
↑ 2.3109888443946502E-7
↓ 2.3109888443946502E-7
■ 2.3109888443946502E-7
↰ 2.3109888443946502E-7
↳ 2.3109888443946502E-7
▴ 2.3109888443946502E-7
▸ 2.3109888443946502E-7
◂ 2.3109888443946502E-7
⇆ 2.3109888443946502E-7
◑ 2.3109888443946502E-7
 2.3109888443946502E-7
☁ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
★ 2.3109888443946502E-7
☆ 2.3109888443946502E-7
☕ 2.3109888443946502E-7
∞ 2.3109888443946502E-7
☰ 2.3109888443946502E-7
☽ 2.3109888443946502E-7
♡ 2.3109888443946502E-7
♪ 2.3109888443946502E-7
♫ 2.3109888443946502E-7
⚏ 2.3109888443946502E-7
⚑ 2.3109888443946502E-7
⚒ 2.3109888443946502E-7
⚙ 2.3109888443946502E-7
⊞ 2.3109888443946502E-7
⊟ 2.3109888443946502E-7
⚡ 2.3109888443946502E-7
⚫ 2.3109888443946502E-7
⛈ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
⌂ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
⬅ 2.3109888443946502E-7
⬆ 2.3109888443946502E-7
 2.3109888443946502E-7
⬇ 2.3109888443946502E-7
✇ 2.3109888443946502E-7
 2.3109888443946502E-7
✈ 2.3109888443946502E-7
✉ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
✎ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
✒ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
✕ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
⌨ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
⌫ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
❎ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
❓ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
❞ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
⎉ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
➕ 2.3109888443946502E-7
➖ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
➡ 2.3109888443946502E-7
 2.3109888443946502E-7
➢ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
➦ 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
 2.3109888443946502E-7
⏩ 2.3109888443946502E-7
⏪ 2.3109888443946502E-7
⏭ 2.3109888443946502E-7
⏮ 2.3109888443946502E-7
⟲ 2.3109888443946502E-7
⏳ 2.3109888443946502E-7
⟳ 2.3109888443946502E-7
× 2.3031395765343932E-7
á 1.7680221894145324E-7
® 1.727354682400795E-7
­ 1.4394622353339957E-7
Ô 1.4394622353339957E-7
Ú 1.1922372952809342E-7
ě 1.1922372952809342E-7
ř 1.1922372952809342E-7
ž 1.1922372952809342E-7
◀ 1.1922372952809342E-7
  1.1515697882671966E-7
Â 1.1515697882671966E-7
‹ 8.636773412003975E-8
к 8.636773412003975E-8
с 8.636773412003975E-8
墟 8.636773412003975E-8
Ï 8.636773412003975E-8
™ 8.636773412003975E-8
麗 8.636773412003975E-8
廃 8.636773412003975E-8
美 8.636773412003975E-8
  5.757848941335983E-8
а 5.757848941335983E-8
Å 5.757848941335983E-8
Ă 5.757848941335983E-8
日 5.757848941335983E-8
ا 5.757848941335983E-8
中 5.757848941335983E-8
ر 5.757848941335983E-8
語 5.757848941335983E-8
́ 5.757848941335983E-8
本 5.757848941335983E-8
Р 2.8789244706679914E-8
У 2.8789244706679914E-8
  2.8789244706679914E-8
и 2.8789244706679914E-8
й 2.8789244706679914E-8
н 2.8789244706679914E-8
р 2.8789244706679914E-8
у 2.8789244706679914E-8
ь 2.8789244706679914E-8
ї 2.8789244706679914E-8
Ã 2.8789244706679914E-8
Ä 2.8789244706679914E-8
Ë 2.8789244706679914E-8
Ñ 2.8789244706679914E-8
Õ 2.8789244706679914E-8
Ö 2.8789244706679914E-8
Û 2.8789244706679914E-8
Ü 2.8789244706679914E-8
Č 2.8789244706679914E-8
ı 2.8789244706679914E-8
한 2.8789244706679914E-8
Š 2.8789244706679914E-8
Ť 2.8789244706679914E-8
ť 2.8789244706679914E-8
국 2.8789244706679914E-8
Ÿ 2.8789244706679914E-8
Ž 2.8789244706679914E-8
文 2.8789244706679914E-8
어 2.8789244706679914E-8
► 2.8789244706679914E-8
视 2.8789244706679914E-8
野 2.8789244706679914E-8
ב 2.8789244706679914E-8
י 2.8789244706679914E-8
ע 2.8789244706679914E-8
ר 2.8789244706679914E-8
ת 2.8789244706679914E-8
ب 2.8789244706679914E-8
ة 2.8789244706679914E-8
س 2.8789244706679914E-8
ع 2.8789244706679914E-8
ف 2.8789244706679914E-8
ل 2.8789244706679914E-8
ي 2.8789244706679914E-8
ی 2.8789244706679914E-8
国 2.8789244706679914E-8
