letter frequency
space 0.1571319054922716
e 0.10966194567488788
s 0.06165295357596968
a 0.05778918439002604
i 0.057567477411202696
n 0.057505611484215284
t 0.054622758471724576
r 0.05304161352061808
o 0.04501045765359816
u 0.042128723342408136
l 0.04026738991207799
d 0.03107209902677994
c 0.025466451692158103
p 0.02207702215592983
m 0.02123272615988861
é 0.01882826077327661
v 0.01073355844819459
, 0.008963855795456397
. 0.007963688217740284
g 0.007798834138161852
f 0.007783955962200241
' 0.0011840441913566254
q 0.006728119337776636
b 0.006330587274006736
h 0.005825354512561579
à 0.003321833264939875
x 0.003165844640829107
C 0.0028944675177782855
0 0.002824673735773545
1 0.0026979674388495725
j 0.0026541488972651617
L 0.0026427874640269394
- 0.0026162846923090447
è 0.0024145985395075246
y 0.0023751893543480255
2 0.0021480231200373557
E 0.0020375110279618838
A 0.002019602361406426
S 0.0017551895230383254
P 0.0016679443404041946
’ 0.007648034502818905
M 0.0015701941968109812
) 0.001555798791405878
9 0.0014448706943362092
( 0.0014105690231157833
I 0.0013680909441296395
: 0.0013497634041505467
D 0.0012711880136782696
R 0.0011422577192616904
T 0.001136664758176422
B 0.0009946755086658978
z 0.0009925476275508475
ê 0.0009839159141382557
3 0.0009574899464693582
N 0.0009304487390951551
F 0.0008895435584674703
O 0.0008722936808415179
5 0.0008457225386288595
4 0.0007918455846659389
/ 0.0007806002950186215
U 0.0007733367281784592
8 0.0007602206975274276
! 0.0007542277838369259
k 0.0007162839661009882
6 0.0007059311829336522
J 0.0006881373523931713
7 0.0006813897683756494
G 0.0006775069967003641
" 0.00046638375990323366
V 0.0005795582502563907
; 0.0005759712789625244
w 0.0004887602570266452
H 0.0004411535844304815
ç 0.00041198378762556957
? 0.0004013857018693969
* 0.0003973438532012917
» 0.00041321735400396824
« 0.00040999421788989233
ô 0.0003720838874675236
É 0.00033177810107791597
_ 0.0002836279637871432
# 0.0002104937814634117
K 0.0002070631672031684
Q 0.00020540795488111597
% 0.00020165121636305167
î 0.0001941300680818234
W 0.00018520537847246558
| 0.00017632755113800277
â 0.00017140906810131614
ù 0.00014623072827754478
û 0.00014345787738244192
] 0.00012667199541138555
  0.00012100638094777301
Y 0.00010800209910709842
[ 9.732098276859813e-05
& 9.121970653108945e-05
œ 8.717670253237306e-05
Z 7.781492747580748e-05
X 7.256308497300264e-05
ï 7.154446330484275e-05
° 6.537218572695596e-05
+ 6.377979957256009e-05
^ 5.807859479868174e-05
— 5.3842996537571013e-05
À 5.0859499807884853e-05
= 5.0802716831689885e-05
– 4.787537245509776e-05
… 4.5031191225071635e-05
@ 3.8905693559278064e-05
ë 3.6701571501997425e-05
> 3.462342980618708e-05
~ 3.43622396866215e-05
` 2.726858001250968e-05
” 5.558342854195264e-05
“ 5.5519747262496776e-05
­ 2.270272606316449e-05
• 2.168935384782717e-05
º 2.144025637508722e-05
€ 1.9868749225731996e-05
È 1.644966755700124e-05
› 1.586079497805043e-05
️ 1.475717725763812e-05
á 1.380224351841444e-05
© 1.3088049457657107e-05
ö 1.3059001311488054e-05
➡ 1.2931648336229337e-05
ü 1.239687357330432e-05
í 1.151472892897732e-05
ä 1.0503458218248122e-05
Ç 9.482733559550975e-06
ó 8.934613587444362e-06
· 8.815231427418102e-06
а 8.553959107673532e-06
} 8.005379569907923e-06
⬇ 7.971030051570956e-06
│ 7.796651918685713e-06
о 7.739542282149535e-06
и 7.709408496223874e-06
$ 7.08800720022242e-06
α 7.018367787724988e-06
< 6.703581454419085e-06
► 6.695552609651872e-06
\ 6.40535039171859e-06
ο 6.314143316653105e-06
е 6.039416163848567e-06
τ 5.980091398274468e-06
{ 5.881081121516844e-06
т 5.674120841964852e-06
ι 5.588619238927205e-06
н 5.559284778001548e-06
 5.301382434619322e-06
р 5.023958737050428e-06
ε 4.931866392631393e-06
ν 4.828886276469786e-06
² 4.605905272601011e-06
´ 4.445898137028295e-06
с 4.386407714746765e-06
σ 3.902725046074859e-06
Î 3.8626049689036e-06
Ê 3.841067648468167e-06
ρ 3.741654134735005e-06
к 3.5947000845697973e-06
ñ 3.492398046935734e-06
в 3.3904900472836976e-06
η 3.3525401617916607e-06
⤵ 3.2315175716702887e-06
◔ 3.1237820472372665e-06
ς 3.0561159149298043e-06
π 3.015528268502556e-06
κ 2.999608179937816e-06
š 2.9467514808530126e-06
ō 2.7933190728706543e-06
л 2.6759958350686695e-06
ú 2.636075910346156e-06
↑ 2.6340605494029724e-06
⚠ 2.58521783775913e-06
ā 2.563904291133044e-06
μ 2.5558285817966205e-06
ã 2.5464075621347574e-06
č 2.487556855156394e-06
Â 2.4491042913969395e-06
υ 2.3328856998312977e-06
д 2.2989635673692293e-06
‘ 4.197418942154875e-06
п 2.2315483943013707e-06
× 2.229856716214882e-06
⚽ 2.2081907575297917e-06
† 2.160532544466577e-06
§ 2.1266947232130368e-06
λ 1.9808343057905888e-06
─ 1.9338281332991215e-06
́ 1.91163010579847e-06
ć 1.8407773697890863e-06
м 1.835381220422869e-06
▫ 1.8311825794149495e-06
ί 1.7337753150332883e-06
➽ 1.723503761325414e-06
→ 1.7060506393040114e-06
у 1.6868443838341424e-06
γ 1.6422770432550134e-06
​ 1.6392195740201818e-06
å 1.6228302601337753e-06
‑ 1.5763737915532688e-06
з 1.5649027343912922e-06
‿ 1.5635484299514107e-06
✊ 1.5618910236186332e-06
ž 1.5086536565538696e-06
ł 1.5018439679162704e-06
ă 1.4815410680386667e-06
ό 1.469641553322791e-06
ω 1.4628954843589672e-06
æ 1.44799436527354e-06
➦ 1.4003349922553394e-06
Ã 1.3597211127572295e-06
ø 1.3567477120128833e-06
δ 1.3211385262003895e-06
ا 1.280854728550097e-06
õ 1.2769536969005089e-06
б 1.2731434064005098e-06
Á 1.261597473913194e-06
ī 1.2297188205497432e-06
ή 1.2109321824679484e-06
¦ 1.2079485938931815e-06
ά 1.1942179896957047e-06
