letter frequency
space 0.14994303953829563
e 0.09171212593437769
a 0.051652267814644416
s 0.04929631940022738
t 0.04914893651984627
r 0.04708610144817185
i 0.04693706079960859
o 0.04600400207298555
n 0.04416018419714059
u 0.040006524219885264
l 0.03278608660698104
c 0.02514690404837467
d 0.023272413428228125
p 0.018651119541376122
m 0.017920252589541164
v 0.012592361736262762
h 0.011392943037614118
# 0.011388464686935974
é 0.010736497086207587
f 0.00995338623324192
/ 0.008945904335950968
. 0.008048434672561555
g 0.007732512437831112
! 0.00711958765658393
b 0.007075022772996575
@ 0.006476755847230675
P 0.005590067706113051
R 0.005435430555390001
: 0.004970525008198601
M 0.004946543478952049
T 0.004820537141785871
C 0.004805527004211836
A 0.004737234163551537
L 0.0046866669964070505
q 0.004636220399412116
N 0.0046096206630814466
' 0.004568827219342757
, 0.004468834913811941
y 0.004070241493537264
S 0.0040246422807766824
E 0.00401795843293032
F 0.003936190591581363
D 0.003837085909355981
O 0.0036524598811634246
1 0.00348224015332465
I 0.003352570273189235
j 0.003329132636131032
0 0.003174052802976129
J 0.003162043368490539
2 0.003130154793361775
B 0.003067023095536963
z 0.0030048751220071294
k 0.0027294301166780168
à 0.0026850961558558682
x 0.002653749411768223
H 0.002313038404585497
G 0.002311417778833469
- 0.002093184629018968
" 0.0018495931175357171
U 0.001833392999356002
V 0.0017373137307746943
6 0.0016210984603612648
w 0.0016180569312383504
è 0.00154993688806296
5 0.0015348277991741577
3 0.0014695913752475003
’ 0.0012937777982796627
4 0.0012653695538068308
9 0.0010643475659522532
K 0.0010540805552363564
Q 0.0010394876003605525
ê 9.869740115773995E-4
8 9.368344419595411E-4
7 8.470583449718767E-4
W 7.999913075665002E-4
_ 7.945004879455383E-4
; 7.541736039152144E-4
Y 7.520207286713481E-4
Z 7.187208317209781E-4
& 6.837144255629329E-4
) 6.256671740782435E-4
« 5.896848054228922E-4
️ 5.8584969283686E-4
» 5.795920173545148E-4
X 5.698156409179949E-4
  5.624279739629986E-4
ç 4.911886745957156E-4
+ 4.8795130399049616E-4
] 3.780110524063645E-4
[ 3.7713301065021073E-4
( 3.005436554836928E-4
ô 2.4053386688149646E-4
… 2.3372537069224763E-4
â 2.0062519612301866E-4
➡ 1.4097466223325403E-4
❤ 1.2951319812934623E-4
— 1.167795535684495E-4
É 1.0686506634092623E-4
⚽ 1.0436232063941003E-4
✌ 1.0264377414622968E-4
î 9.711276447541701E-5
☀ 8.943561078479618E-5
► 8.576391142889073E-5
œ 7.517110482635491E-5
Ç 7.179031736868495E-5
û 6.991223854421416E-5
À 5.9310047686896566E-5
% 5.23044821472301E-5
= 4.0927476336358435E-5
ï 3.341250800775167E-5
ë 3.3025100530974634E-5
ù 3.2931257983156736E-5
♥ 2.3791585709187517E-5
° 2.3735280180496773E-5
⚡ 2.112930767638088E-5
– 2.063867339700415E-5
➪ 1.982632142432293E-5
☺ 1.8504566662701403E-5
“ 1.8023316638106468E-5
” 1.8023316638106468E-5
* 1.7173427646298083E-5
♫ 1.5861057139458346E-5
Ê 1.3651876366901269E-5
★ 1.3217547616215287E-5
€ 1.3189394851869915E-5
♦ 1.1895792854593758E-5
​ 1.1858255835466597E-5
ü 1.1414542829998824E-5
‎ 1.057403809297223E-5
✈ 1.057403809297223E-5
▶ 9.686612082036683E-6
☆ 7.930528569729173E-6
・ 7.930528569729173E-6
̶ 7.902375805383801E-6
È 7.486815564261399E-6
⚔ 6.6087738081076435E-6
✪ 6.6087738081076435E-6
| 5.711963542390307E-6
☕ 5.287019046486115E-6
´ 5.287019046486115E-6
⌚ 5.287019046486115E-6
✨ 5.287019046486115E-6
⏰ 5.277634791704325E-6
ö 4.843306041018342E-6
$ 4.3995930355505685E-6
  4.390208780768778E-6
  4.390208780768778E-6
• 3.9652642848645864E-6
✂ 3.9652642848645864E-6
❄ 3.9652642848645864E-6
→ 3.9652642848645864E-6
Â 3.521551279396813E-6
☎ 3.07783827392904E-6
ó 3.07783827392904E-6
⬇ 3.07783827392904E-6
Ü 2.6435095232430575E-6
✅ 2.6435095232430575E-6
ɐ 2.634125268461267E-6
⚠ 2.634125268461267E-6
á 2.634125268461267E-6
⛳ 2.634125268461267E-6
ǝ 2.634125268461267E-6
? 2.1997965177752842E-6
✏ 2.1997965177752842E-6
⭐ 2.1997965177752842E-6
© 1.7560835123075112E-6
­ 1.7560835123075112E-6
¯ 1.7560835123075112E-6
Î 1.7560835123075112E-6
ñ 1.7560835123075112E-6
✓ 1.7560835123075112E-6
︎ 1.3217547616215287E-6
☔ 1.3217547616215287E-6
‘ 1.3217547616215287E-6
‼ 1.3217547616215287E-6
♪ 1.3217547616215287E-6
~ 1.3217547616215287E-6
® 1.3217547616215287E-6
º 1.3217547616215287E-6
⛄ 1.3217547616215287E-6
